file,mutants,function_name,function_start_line,pattern.lineno,pattern.coloffset,pattern.linematch,pattern.context,pattern.min,pattern.max,pattern.pattern,pattern.check_id,pattern.check_name,pattern.description,mutmut_summary.disabled,mutmut_summary.errors,mutmut_summary.failures,mutmut_summary.tests,mutmut_summary.time,mutants.Mutant #2.line,mutants.Mutant #2.description,mutants.Mutant #2.failure.inner,mutants.Mutant #2.failure.type,mutants.Mutant #2.failure.message,mutants.Mutant #6.line,mutants.Mutant #6.description,mutants.Mutant #6.failure.inner,mutants.Mutant #6.failure.type,mutants.Mutant #6.failure.message,mutants.Mutant #9.line,mutants.Mutant #9.description,mutants.Mutant #9.failure.inner,mutants.Mutant #9.failure.type,mutants.Mutant #9.failure.message,mutants.Mutant #20.line,mutants.Mutant #20.description,mutants.Mutant #22.line,mutants.Mutant #22.description,mutants.Mutant #25.line,mutants.Mutant #25.description,mutants.Mutant #27.line,mutants.Mutant #27.description,mutants.Mutant #31.line,mutants.Mutant #31.description,mutants.Mutant #32.line,mutants.Mutant #32.description,mutants.Mutant #33.line,mutants.Mutant #33.description,mutants.Mutant #34.line,mutants.Mutant #34.description,mutants.Mutant #38.line,mutants.Mutant #38.description,mutants.Mutant #40.line,mutants.Mutant #40.description,mutants.Mutant #1.line,mutants.Mutant #1.description,mutants.Mutant #3.line,mutants.Mutant #3.description,mutants.Mutant #5.line,mutants.Mutant #5.description,mutants.Mutant #14.line,mutants.Mutant #14.description,mutants.Mutant #14.failure.inner,mutants.Mutant #14.failure.type,mutants.Mutant #14.failure.message,mutants.Mutant #15.line,mutants.Mutant #15.description,mutants.Mutant #16.line,mutants.Mutant #16.description,mutants.Mutant #17.line,mutants.Mutant #17.description
/Users/danielbekele/jsem/SEERS/scripts/analyzer/demo/lazytracker/tests/test_lazytracker.py,,test_picable_function,35.0,36,4,def func_1(x):,"    assert tracker_1.hash() == tracker_2.hash()
    assert tracker_1.hash() != tracker_3.hash()

def test_picable_function():
    def func_1(x):
        return x+1
    def func_2(x):
        return x+2

    tracker_1 = LazyTracker()",1,10,".//FunctionDef[not(contains(@name, ""test_""))]",F002,dummy-test-non-test-function-definition,Ensure the presence of non-test function definitions in the codebase.,0,0,10,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/danielbekele/jsem/SEERS/scripts/analyzer/demo/lazytracker/tests/test_lazytracker.py,,test_picable_function,35.0,38,4,def func_2(x):,"
def test_picable_function():
    def func_1(x):
        return x+1
    def func_2(x):
        return x+2

    tracker_1 = LazyTracker()
    tracker_1.add_picklables([func_1])
",1,10,".//FunctionDef[not(contains(@name, ""test_""))]",F002,dummy-test-non-test-function-definition,Ensure the presence of non-test function definitions in the codebase.,0,0,10,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/danielbekele/jsem/SEERS/scripts/analyzer/demo/lazytracker/lazytracker/lazytracker.py,,__init__,9.0,9,4,def __init__(self):,"from pathlib import Path


class LazyTracker:
    def __init__(self):
        """"""LazyTracked enables you to compute combined hash of things like files, directories, python objects etc.""""""
        self._hasher = hashlib.md5()

    def add_directories(self, directories: List[str], chunk_num_blocks=128):
        """"""Include hash of all files inside directory (including files in subdirectories)",1,10,".//FunctionDef[not(contains(@name, ""test_""))]",F002,dummy-test-non-test-function-definition,Ensure the presence of non-test function definitions in the codebase.,0,0,10,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/danielbekele/jsem/SEERS/scripts/analyzer/demo/lazytracker/lazytracker/lazytracker.py,,add_directories,13.0,13,4,"def add_directories(self, directories: List[str], chunk_num_blocks=128):","    def __init__(self):
        """"""LazyTracked enables you to compute combined hash of things like files, directories, python objects etc.""""""
        self._hasher = hashlib.md5()

    def add_directories(self, directories: List[str], chunk_num_blocks=128):
        """"""Include hash of all files inside directory (including files in subdirectories)

        Args:
            directories (List[str]): List of directories to take files from
            chunk_num_blocks (int, optional): How many chunks to read at once. Defaults to 128.",1,10,".//FunctionDef[not(contains(@name, ""test_""))]",F002,dummy-test-non-test-function-definition,Ensure the presence of non-test function definitions in the codebase.,0,0,10,44,0,13.0,"    def add_directories(self, directories: List[str], chunk_num_blocks=128):","--- lazytracker/lazytracker.py
+++ lazytracker/lazytracker.py
@@ -10,7 +10,7 @@
         """"""LazyTracked enables you to compute combined hash of things like files, directories, python objects etc.""""""
         self._hasher = hashlib.md5()
 
-    def add_directories(self, directories: List[str], chunk_num_blocks=128):
+    def add_directories(self, directories: List[str], chunk_num_blocks=129):
         """"""Include hash of all files inside directory (including files in subdirectories)
 
         Args:
",failure,bad_survived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/danielbekele/jsem/SEERS/scripts/analyzer/demo/lazytracker/lazytracker/lazytracker.py,,add_files,29.0,29,4,"def add_files(self, filepaths: List[str], chunk_num_blocks=128):","        files_to_check = sorted(files_to_check)

        self.add_files(files_to_check, chunk_num_blocks)

    def add_files(self, filepaths: List[str], chunk_num_blocks=128):
        """"""Include hash of files

        Args:
            filepaths (List[str]): List of paths to files
            chunk_num_blocks (int, optional): How many chunks to read at once. Defaults to 128.",1,10,".//FunctionDef[not(contains(@name, ""test_""))]",F002,dummy-test-non-test-function-definition,Ensure the presence of non-test function definitions in the codebase.,0,0,10,44,0,,,,,,29.0,"    def add_files(self, filepaths: List[str], chunk_num_blocks=128):","--- lazytracker/lazytracker.py
+++ lazytracker/lazytracker.py
@@ -26,7 +26,7 @@
 
         self.add_files(files_to_check, chunk_num_blocks)
 
-    def add_files(self, filepaths: List[str], chunk_num_blocks=128):
+    def add_files(self, filepaths: List[str], chunk_num_blocks=129):
         """"""Include hash of files
 
         Args:
",failure,bad_survived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/danielbekele/jsem/SEERS/scripts/analyzer/demo/lazytracker/lazytracker/lazytracker.py,,add_hparams,44.0,44,4,"def add_hparams(self, hparams: dict):","                        self._hasher.update(chunk)
            else:
                self._hasher.update(dill.dumps(None))

    def add_hparams(self, hparams: dict):
        """"""Add hash of python dictionary. Utility function for storing pickable

        Args:
            hparams (dict): A dictionary to be included
        """"""",1,10,".//FunctionDef[not(contains(@name, ""test_""))]",F002,dummy-test-non-test-function-definition,Ensure the presence of non-test function definitions in the codebase.,0,0,10,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/danielbekele/jsem/SEERS/scripts/analyzer/demo/lazytracker/lazytracker/lazytracker.py,,add_picklables,52.0,52,4,"def add_picklables(self, objects: List[Any], recursive: bool=False):","            hparams (dict): A dictionary to be included
        """"""
        self.add_picklables([hparams])

    def add_picklables(self, objects: List[Any], recursive: bool=False):
        """"""Include hash of any picklable python objects (pickable by dill)

        Args:
            objects (List[Any]): List of python objects to hash
            recursive (bool): Wheter to track dependencies of object. Eg.: if function calls another function, if ",1,10,".//FunctionDef[not(contains(@name, ""test_""))]",F002,dummy-test-non-test-function-definition,Ensure the presence of non-test function definitions in the codebase.,0,0,10,44,0,,,,,,,,,,,52.0,"    def add_picklables(self, objects: List[Any], recursive: bool=False):","--- lazytracker/lazytracker.py
+++ lazytracker/lazytracker.py
@@ -49,7 +49,7 @@
         """"""
         self.add_picklables([hparams])
 
-    def add_picklables(self, objects: List[Any], recursive: bool=False):
+    def add_picklables(self, objects: List[Any], recursive: bool=True):
         """"""Include hash of any picklable python objects (pickable by dill)
 
         Args:
",failure,bad_survived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/danielbekele/jsem/SEERS/scripts/analyzer/demo/lazytracker/lazytracker/lazytracker.py,,hash,63.0,63,4,def hash(self) -> str:,"        """"""
        for obj in objects:
            self._hasher.update(dill.dumps(obj, recurse=recursive))

    def hash(self) -> str:
        """"""Compute hash

        Returns:
            str: Computed checksum of all things tracked
        """"""",1,10,".//FunctionDef[not(contains(@name, ""test_""))]",F002,dummy-test-non-test-function-definition,Ensure the presence of non-test function definitions in the codebase.,0,0,10,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/danielbekele/jsem/SEERS/scripts/analyzer/demo/lazytracker/lazytracker/tracked.py,,cached,14.0,14,0,def cached(,"shelve.Pickler = Pickler
shelve.Unpickler = Unpickler


def cached(
    cache_dir: str = "".lazytracker"",
    input_files: Optional[List[str]] = None,
    input_dirs: Optional[List[str]] = None,
    output_dirs: Optional[List[str]] = None,
    output_files: Optional[List[str]] = None,",1,10,".//FunctionDef[not(contains(@name, ""test_""))]",F002,dummy-test-non-test-function-definition,Ensure the presence of non-test function definitions in the codebase.,0,0,10,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/danielbekele/jsem/SEERS/scripts/analyzer/demo/lazytracker/lazytracker/tracked.py,,cached,14.0,31,4,def inner_func(function: Callable):,"        output_dirs (Optional[List[str]], optional): name of function parameters, that are paths to otuput files. Defaults to None.
        output_files (Optional[List[str]], optional): name of function parameters, that are paths to directories with output files. Defaults to None.
    """"""

    def inner_func(function: Callable):
        @wraps(function)
        def wrapper(*args, **kwargs):
            kwargs.update(dict(zip(function.__code__.co_varnames, args)))

            os.makedirs(f""{cache_dir}"", exist_ok=True)",1,10,".//FunctionDef[not(contains(@name, ""test_""))]",F002,dummy-test-non-test-function-definition,Ensure the presence of non-test function definitions in the codebase.,0,0,10,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/danielbekele/jsem/SEERS/scripts/analyzer/demo/lazytracker/lazytracker/tracked.py,,cached,14.0,33,8,"def wrapper(*args, **kwargs):","    """"""

    def inner_func(function: Callable):
        @wraps(function)
        def wrapper(*args, **kwargs):
            kwargs.update(dict(zip(function.__code__.co_varnames, args)))

            os.makedirs(f""{cache_dir}"", exist_ok=True)
            with shelve.open(f""{cache_dir}/tracked_functions"", ""c"") as db:
                input_tracker = LazyTracker()",1,10,".//FunctionDef[not(contains(@name, ""test_""))]",F002,dummy-test-non-test-function-definition,Ensure the presence of non-test function definitions in the codebase.,0,0,10,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/danielbekele/jsem/SEERS/scripts/analyzer/demo/lazytracker/lazytracker/lazytracker.py,,add_files,29.0,37,12,if os.path.exists(p):,"            filepaths (List[str]): List of paths to files
            chunk_num_blocks (int, optional): How many chunks to read at once. Defaults to 128.
        """"""
        for p in filepaths:
            if os.path.exists(p):
                with open(p, ""rb"") as f:
                    while chunk := f.read(chunk_num_blocks * self._hasher.block_size):
                        self._hasher.update(chunk)
            else:
                self._hasher.update(dill.dumps(None))",1,10,.//FunctionDef/body//If,CL001,dummy-test-single-nested-if,Ensure the presence of single nested 'if' statements within function bodies.,0,0,10,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/danielbekele/jsem/SEERS/scripts/analyzer/demo/lazytracker/lazytracker/tracked.py,,cached,14.0,41,16,if input_dirs is not None:,"            with shelve.open(f""{cache_dir}/tracked_functions"", ""c"") as db:
                input_tracker = LazyTracker()
                input_tracker.add_picklables([function], recursive=True)
                input_tracker.add_hparams(kwargs)
                if input_dirs is not None:
                    input_dirs_values = [kwargs[input_dir] for input_dir in input_dirs]
                    input_tracker.add_directories(input_dirs_values)
                if input_files is not None:
                    input_files_values = [
                        kwargs[input_file] for input_file in input_files",1,10,.//FunctionDef/body//If,CL001,dummy-test-single-nested-if,Ensure the presence of single nested 'if' statements within function bodies.,0,0,10,44,0,,,,,,,,,,,,,,,,41.0,                if input_dirs is not None:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/danielbekele/jsem/SEERS/scripts/analyzer/demo/lazytracker/lazytracker/tracked.py,,cached,14.0,44,16,if input_files is not None:,"                input_tracker.add_hparams(kwargs)
                if input_dirs is not None:
                    input_dirs_values = [kwargs[input_dir] for input_dir in input_dirs]
                    input_tracker.add_directories(input_dirs_values)
                if input_files is not None:
                    input_files_values = [
                        kwargs[input_file] for input_file in input_files
                    ]
                    input_tracker.add_files(input_files_values)
",1,10,.//FunctionDef/body//If,CL001,dummy-test-single-nested-if,Ensure the presence of single nested 'if' statements within function bodies.,0,0,10,44,0,,,,,,,,,,,,,,,,,,44.0,                if input_files is not None:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/danielbekele/jsem/SEERS/scripts/analyzer/demo/lazytracker/lazytracker/tracked.py,,cached,14.0,51,16,if output_dirs is not None:,"                    ]
                    input_tracker.add_files(input_files_values)

                test_output_tracker = LazyTracker()
                if output_dirs is not None:
                    output_dirs_values = [
                        kwargs[output_dir] for output_dir in output_dirs
                    ]
                    test_output_tracker.add_directories(output_dirs_values)
                if output_files is not None:",1,10,.//FunctionDef/body//If,CL001,dummy-test-single-nested-if,Ensure the presence of single nested 'if' statements within function bodies.,0,0,10,44,0,,,,,,,,,,,,,,,,,,,,51.0,                if output_dirs is not None:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
